ACT Behavior,Mean(M)Perceived Self-Accuracy,"Scale(7-point likert) Range Bracket of ACT Behavior of ""How much they themselves will perform this behavior"" ",Standard Deviation(SD) Perceived Self-Accuracy,Mean(M)Perceived Other-Accuracy ,"Scale(7-point likert) Range Bracket of ACT Behavior of ""How much other people they know well will perform this behavior"" ",Standard Deviation(SD)Perceived Other-Accuracy,Difference in Means(M) ,Cohen's d,Number/Order of ACT Behavior and other related/similar ACT Behavior
Alone,5.8,Somewhat Average or More than the Average Person,1.33,3.43,Slightly Less than the Average person,1.52,2.38,1.66,1)
Crying,5.44,Somewhat Average or More than the Average Person,1.86,3.1,Slightly Less than the Average person,1.88,2.34,1.25,10)
Reading,5.57,Somewhat Average or More than the Average Person,1.55,3.31,Slightly Less than the Average person,1.74,2.26,1.37,"15), 16), and 18)"
Indoors,5.49,Somewhat Average or More than the Average Person,1.27,3.59,Slightly Less than the Average person,1.69,1.9,1.27,21)
Commuting,4.98,Slightly Less than the Average Person,1.85,3.13,Slightly Less than the Average person,1.59,1.85,1.07,23) and 22)
Talking one-on-one,5.38,Slightly Less than the Average Person,1.47,3.52,Slightly Less than the Average person,1.66,1.85,1.19,"2), 3), 6), 7), 4), 5), 11), 16), 17), 18), 19), 20), 21), 22), 23), 24), 25)"
Sleeping,5.93,Somewhat Average or More than the Average Person,1.33,4.08,Somewhat Average or More than the Average person,1.69,1.85,1.22,20)
Watching TV,5.54,Somewhat Average or More than the Average Person,1.54,3.7,Slightly Less than the Average person,1.72,1.84,1.13,13)
Playing sports,5.77,Somewhat Average or More than the Average Person,1.48,3.97,Somewhat Average or More than the Average person,1.84,1.8,1.08,"25), 22), 19), 6), 7, 5), 4), 2), 1)"
On the phone,5.31,Slightly Less than the Average Person,1.69,3.57,Slightly Less than the Average person,1.61,1.74,1.05,3)
On the computer,5.59,Somewhat Average or More than the Average Person,1.46,3.92,Somewhat Average or More than the Average person,1.67,1.67,1.06,14) and 16)
Eating,5.21,Slightly Less than the Average Person,1.39,3.56,Slightly Less than the Average person,1.53,1.66,1.13,"19), 17), 24)"
Talking to same gender,5.46,Somewhat Average or More than the Average Person,1.52,3.8,Slightly Less than the Average person,1.58,1.66,1.07,"2), 3) 6), 4), 5), 11), 16), 17) 18), 19), 21), 22), 23), 24), 25)"
Talking to opposite gender,5.57,Somewhat Average or More than the Average Person,1.37,3.95,Somewhat Average or More than the Average person,1.65,1.62,1.07,"2), 3) 7), 5), 4), 11), 16), 17), 18), 19), 21), 22), 23), 24), 25)"
Attending lecture,6.07,Somewhat Average or More than the Average Person,1.58,4.49,Somewhat Average or More than the Average person,1.73,1.57,0.95,19)
Outdoors,4.92,Slightly Less than the Average Person,1.75,3.39,Slightly Less than the Average person,1.36,1.52,0.98,"19), 22), 23),24), 25), 16)"
Listening to music,5.41,Slightly Less than the Average Person,1.49,3.95,Somewhat Average or More than the Average person,1.8,1.46,0.88,"12), 19), 17), 24)"
Arguing,5.03,Slightly Less than the Average Person,1.68,3.64,Slightly Less than the Average person,1.63,1.39,0.84,11)
At a coffee shop/bar/restaurant,5.23,Slightly Less than the Average Person,1.64,3.85,Somewhat Average or More than the Average person,1.53,1.38,0.87,"19), 17), 24)"
Talking in a group,5.28,Slightly Less than the Average Person,1.59,4.05,Somewhat Average or More than the Average person,1.64,1.23,0.76,"2), 3), 6), 7), 4), 5), 11), 16), 17), 18), 19), 20), 21), 22), 23), 24), 25)"
Socializing,5.31,Slightly Less than the Average Person,1.47,4.13,Somewhat Average or More than the Average person,1.65,1.18,0.76,"2), 3), 6), 7), 4), 5), 11), 16), 17), 18), 19), 20), 21), 22), 23), 24), 25)"
Accompanied with other people,5.33,Slightly Less than the Average Person,1.31,4.16,Somewhat Average or More than the Average person,1.57,1.16,0.81,"2), 3), 6), 7), 4), 5), 11), 16), 17), 18), 19), 20), 21), 22), 23), 24), 25)"
Singing,4.79,Slightly Less than the Average Person,1.71,3.7,Slightly Less than the Average person,1.88,1.08,0.61,9)
At work,5.93,Somewhat Average or More than the Average Person,1.7,5.02,Somewhat Average or More than the Average person,1.48,0.92,0.57,16)
Laughing,5.15,Slightly Less than the Average Person,1.51,5.11,Somewhat Average or More than the Average person,1.32,0.03,0.03,8)
